3ec6f1c53d1ade26eac1367d951871f7bfd89b14fd597e938bf611cc4e04112b,Alimentation be quiet! Straight Power 11 850W,159.0,12
3ec6f1c53d1ade26eac1367d951871f7bfd89b14fd597e938bf611cc4e04112b,Batterie externe Anker PowerCore 26800,59.0,30
3ec6f1c53d1ade26eac1367d951871f7bfd89b14fd597e938bf611cc4e04112b,Carte graphique NVIDIA RTX 4070,599.0,10
3ec6f1c53d1ade26eac1367d951871f7bfd89b14fd597e938bf611cc4e04112b,Carte graphique NVIDIA RTX 4080,1199.0,6
3ec6f1c53d1ade26eac1367d951871f7bfd89b14fd597e938bf611cc4e04112b,Carte mère MSI MPG Z690,299.0,8
3ec6f1c53d1ade26eac1367d951871f7bfd89b14fd597e938bf611cc4e04112b,Casque VR Oculus Quest 2,399.0,15
3ec6f1c53d1ade26eac1367d951871f7bfd89b14fd597e938bf611cc4e04112b,Chargeur sans fil Samsung Duo,69.0,25
3ec6f1c53d1ade26eac1367d951871f7bfd89b14fd597e938bf611cc4e04112b,Clavier Logitech G915 TKL,229.0,15
3ec6f1c53d1ade26eac1367d951871f7bfd89b14fd597e938bf611cc4e04112b,Clavier Logitech K800 sans fil,99.0,15
3ec6f1c53d1ade26eac1367d951871f7bfd89b14fd597e938bf611cc4e04112b,Clé USB Kingston 128Go,19.0,150
3ec6f1c53d1ade26eac1367d951871f7bfd89b14fd597e938bf611cc4e04112b,Clé USB Samsung FIT Plus 128Go,29.0,50
3ec6f1c53d1ade26eac1367d951871f7bfd89b14fd597e938bf611cc4e04112b,Clé USB SanDisk Extreme Pro 256Go,89.0,25
3ec6f1c53d1ade26eac1367d951871f7bfd89b14fd597e938bf611cc4e04112b,Câble USB-C 2m tressé,15.0,150
3ec6f1c53d1ade26eac1367d951871f7bfd89b14fd597e938bf611cc4e04112b,Disque SSD externe Samsung T7 Touch 2To,249.0,15
3ec6f1c53d1ade26eac1367d951871f7bfd89b14fd597e938bf611cc4e04112b,Disque SSD externe SanDisk 500Go,89.0,30
3ec6f1c53d1ade26eac1367d951871f7bfd89b14fd597e938bf611cc4e04112b,Disque dur Seagate Expansion 10To,249.0,8
3ec6f1c53d1ade26eac1367d951871f7bfd89b14fd597e938bf611cc4e04112b,Disque dur interne Seagate Barracuda 2To,59.0,50
3ec6f1c53d1ade26eac1367d951871f7bfd89b14fd597e938bf611cc4e04112b,Ecouteurs Jabra Elite Active 75t,179.0,11
3ec6f1c53d1ade26eac1367d951871f7bfd89b14fd597e938bf611cc4e04112b,Ecran 27 Dell UltraSharp 4K,799.0,8
3ec6f1c53d1ade26eac1367d951871f7bfd89b14fd597e938bf611cc4e04112b,Ecran 32 Samsung Odyssey G5,349.0,15
3ec6f1c53d1ade26eac1367d951871f7bfd89b14fd597e938bf611cc4e04112b,Enceinte intelligente Amazon Echo Dot,49.0,100
3ec6f1c53d1ade26eac1367d951871f7bfd89b14fd597e938bf611cc4e04112b,Haut-parleurs Creative Pebble 2.0,25.0,100
3ec6f1c53d1ade26eac1367d951871f7bfd89b14fd597e938bf611cc4e04112b,Haut-parleurs Logitech Z623,149.0,15
