Pâte thermique Arctic MX-4,6.0,300
Câble HDMI 4K 2m,9.0,200
Câble Ethernet CAT 6 10m,15.0,200
Câble USB-C 2m tressé,15.0,150
Support pour casque gamer,15.0,100
Tapis de souris SteelSeries QcK+,15.0,80
Clé USB Kingston 128Go,19.0,150
Adaptateur USB-C vers HDMI,19.0,150
Hub USB 3.0 Sabrent 4 ports,19.0,100
Tapis de refroidissement pour PC portable,19.0,90
Ventilateur Noctua NF-S12A PWM,19.0,50
Chargeur sans fil Anker PowerWave 15W,19.0,50
Haut-parleurs Creative Pebble 2.0,25.0,100
Boîtier externe pour disque dur USB 3.0,25.0,50
Chargeur voiture USB-C 45W,29.0,90
Hub USB-C Aukey,29.0,75
Chargeur USB multiports Aukey,29.0,75
Adaptateur secteur universel,29.0,75
Switch réseau TP-Link 8 ports,29.0,60
Ventilateur PC Noctua NF-A12x25,29.0,50
Support réglable pour ordinateur portable,29.0,50
Clé USB Samsung FIT Plus 128Go,29.0,50
Câble HDMI 2.1 8K 3m,29.0,40
Caméra de sécurité Wi-Fi TP-Link Tapo,39.0,80
Tapis de souris Corsair MM300,39.0,40
Chargeur USB-C Anker 65W,39.0,40
Batterie externe Anker 20000mAh,39.0,40
Support pour moniteur,39.0,35
Chargeur sans fil Belkin Boost Up 10W,39.0,30
Boîtier externe USB-C pour SSD NVMe,39.0,25
Enceinte intelligente Amazon Echo Dot,49.0,100
Clavier sans fil Logitech K380,49.0,60
Tapis de souris RGB SteelSeries QcK Prism,49.0,40
Tapis de souris Logitech G640,49.0,30
Carte son externe Behringer UMC22,49.0,30
Switch KVM HDMI USB,49.0,25
Disque dur interne Seagate Barracuda 2To,59.0,50
Souris gamer Razer DeathAdder V2,59.0,45
SSD Kingston A2000 500Go,59.0,40
Batterie externe Anker PowerCore 26800,59.0,30
Webcam Logitech C920,59.0,25
Clé USB Samsung Bar Plus 256Go,69.0,25
Chargeur sans fil Samsung Duo,69.0,25
Boîtier PC Cooler Master MasterBox Q300L,69.0,20
Clé USB Lexar 512Go,69.0,15
RAM Corsair Vengeance 16Go DDR4,79.0,45
